#{"t_start": 1768248100.72864, "env_id": "DielsAlderReact-v0"}
r,l,t
0.042966,20,15.213858
0.043652,20,15.228169
0.04163,20,15.242414
0.041916,20,15.256134
0.043693,20,15.270303
0.042386,20,15.284395
0.043688,20,15.297928
0.042863,20,15.312203
0.043773,20,15.326371
0.043958,20,15.340668
0.04163,20,15.355152
0.043377,20,15.411118
0.043407,20,15.424945
0.04163,20,15.438896
0.043853,20,15.452735
0.041927,20,15.466684
0.04163,20,15.480988
0.042745,20,15.494938
0.042176,20,15.508802
0.043825,20,15.522735
0.043406,20,15.537215
0.044052,20,15.551348
0.044207,20,15.565296
0.043341,20,15.579051
0.044115,20,15.633337
0.042414,20,15.647533
0.042385,20,15.66175
0.04249,20,15.675966
0.044202,20,15.690477
0.044066,20,15.704585
0.043688,20,15.718474
0.04163,20,15.732501
0.04163,20,15.746751
0.04163,20,15.761266
0.043154,20,15.775081
0.04163,20,15.789123
0.0426,20,15.803103
0.043407,20,15.853477
0.041913,20,15.86749
0.04269,20,15.881678
0.042611,20,15.895753
0.042184,20,15.909724
0.0443,20,15.925485
0.04163,20,15.939346
0.043173,20,15.953285
0.043579,20,15.967239
0.04163,20,15.981262
0.042798,20,15.995306
0.042307,20,16.008826
0.04163,20,16.022738
0.04163,20,16.073155
0.043371,20,16.087297
0.04163,20,16.101266
0.043681,20,16.11581
0.0419,20,16.130307
0.04163,20,16.144487
0.04163,20,16.158931
0.042804,20,16.172796
0.042779,20,16.187558
0.04371,20,16.202552
0.042598,20,16.217613
0.04163,20,16.231988
0.04163,20,16.286753
0.042826,20,16.301439
0.042365,20,16.316396
0.043051,20,16.330512
0.04163,20,16.344966
0.042849,20,16.358742
0.043048,20,16.373071
0.042078,20,16.387625
0.044013,20,16.401943
0.043236,20,16.416458
0.04163,20,16.430688
0.042278,20,16.445068
0.044012,20,16.459435
0.04163,20,16.511433
0.043663,20,16.525467
0.043909,20,16.53956
0.04163,20,16.554412
0.042607,20,16.568576
0.042853,20,16.582458
0.04163,20,16.596938
0.044214,20,16.610903
0.043705,20,16.625013
0.04354,20,16.638893
0.04163,20,16.65311
0.04163,20,16.667345
0.041801,20,16.681188
0.044155,20,16.732509
0.04163,20,16.746397
0.042251,20,16.760483
0.043506,20,16.774789
0.04163,20,16.788834
0.04427,20,16.8125
0.043694,20,16.826528
0.043132,20,16.840789
0.042654,20,16.854418
0.04163,20,16.868467
0.044127,20,16.882129
0.04163,20,16.896483
0.04218,20,16.91067
0.042873,20,16.961654
0.04163,20,16.975678
0.043843,20,16.989923
0.043786,20,17.00406
0.041971,20,17.017902
0.04422,20,17.033759
0.042051,20,17.048373
0.04284,20,17.063167
0.042266,20,17.078302
0.04163,20,17.093187
0.04163,20,17.108669
0.04163,20,17.123945
0.04163,20,17.139736
0.042904,20,17.198572
0.042274,20,17.215155
0.042317,20,17.232009
0.041805,20,17.247981
0.04163,20,17.263517
0.04163,20,17.279813
0.04163,20,17.311495
0.042943,20,17.342436
0.043755,20,17.367649
0.044062,20,17.394796
0.044023,20,17.412389
0.04306,20,17.429128
0.044204,20,17.491816
0.043921,20,17.508484
0.04163,20,17.524239
0.042676,20,17.539462
0.043043,20,17.554945
0.04163,20,17.570115
0.04163,20,17.585366
0.044069,20,17.601183
0.04163,20,17.616435
0.042373,20,17.631465
0.04163,20,17.646759
0.043699,20,17.662141
0.042998,20,17.677573
0.043385,20,17.735493
0.04163,20,17.75106
0.043924,20,17.766177
0.042527,20,17.781612
0.042533,20,17.7976
0.043849,20,17.813036
0.04163,20,17.828088
0.044099,20,17.842398
0.04223,20,17.857883
0.044034,20,17.873105
0.042689,20,17.887815
0.04273,20,17.903245
0.043917,20,17.917873
0.043925,20,17.975347
0.04163,20,17.990536
0.04163,20,18.005573
0.042747,20,18.020037
0.044013,20,18.034751
0.04253,20,18.049155
0.041695,20,18.064982
0.042089,20,18.080275
0.04163,20,18.095799
0.04163,20,18.111036
0.04163,20,18.126668
0.04163,20,18.141766
0.042619,20,18.157453
0.041858,20,18.214688
0.043728,20,18.229837
0.04163,20,18.245707
0.043914,20,18.260777
0.04163,20,18.276162
0.04163,20,18.291633
0.04163,20,18.307212
0.04163,20,18.322839
0.04163,20,18.338158
0.04163,20,18.353475
0.04163,20,18.369266
0.04163,20,18.385
0.043369,20,18.400398
0.04163,20,18.457531
0.04163,20,18.473312
0.04163,20,18.488893
0.04163,20,18.504103
0.04163,20,18.519019
0.042716,20,18.533637
0.04163,20,18.549891
0.044334,20,18.567338
